rule,comparison,metric,unit,block_len_days,n_days,n_boot,seed,confidence_level,ci_method,point_diff,boot_mean_diff,ci_lo,ci_hi,frac_resamples_gt0,ci_excludes_zero_95,interpretation,note
⓪운영설정,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1442,0.1784,-0.4529,1.0414,0.701,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,cagr,연복리수익률 차 (0.05 = +5%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0261,0.0276,-0.0699,0.1317,0.701,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,sharpe,연율화 Sharpe 차 (무차원),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.095,0.0947,-0.1435,0.323,0.7795,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.023,0.0083,-0.0437,0.0677,0.6175,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1442,0.1947,-0.4649,1.2098,0.6885,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,cagr,연복리수익률 차 (0.05 = +5%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0261,0.028,-0.0727,0.1415,0.6885,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,sharpe,연율화 Sharpe 차 (무차원),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.095,0.0915,-0.1495,0.333,0.772,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.023,0.0069,-0.0484,0.0627,0.6115,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1442,0.2057,-0.4591,1.3198,0.7025,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,cagr,연복리수익률 차 (0.05 = +5%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0261,0.0283,-0.0723,0.1463,0.7025,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
