gap_id,없는 데이터,필요한 스키마·검증,막히는 실험,대체 가능한 것,비용·승인
D1,point-in-time 나스닥100 구성종목,"date, symbol, permanent_id, 발표일, 효력일, action(편입/편출/폐지/합병/티커변경), 후행 식별자. 검증: 어떤 날짜에도 구성종목 100±α, 동일 permanent_id 의 구간 겹침 없음, 편출 후 가격 계속 존재","C·F·G 확정, 절대 수익률, 규칙 간 상대 비교","시작일 당시 알려진 종목 고정 테스트(=편입 무시한 다른 유니버스 전략, 사라진 종목 누락 금지). 과거 편출종목 일부 추가는 민감도 분석일 뿐 PIT 대체 아님",조사 완료 → research/pit_sources.md. Norgate Platinum US$630/12개월(NDX 1993-10~·폐지종목 포함)이 유일한 충족 후보. EODHD 는 NDX 미제공. 무료 부분 해소: n100tickers(MIT) 2015~. 구매는 승인 필요 — 하지 않았다
D2,상장폐지·합병 종목의 가격 이력,"symbol, 마지막 거래일, 사유, 최종 회수액(합병 대가/청산가)","생존 편향 제거, 하락장 상대 비교",없음,D1 과 같은 공급처 (Norgate Platinum 이상). 무료 대안 없음 — research/pit_sources.md
D3,역사적 뉴스 스냅샷 + available_at,"article_id, published_at, ingested_at, symbol, body, source. 검증: available_at <= decision_at","D(LLM 추가가치) 과거 재현","forward shadow 만 가능 (research/shadow.py)",뉴스 API 계약 — 승인 필요
D4,과거 LLM 프롬프트·응답·모델 버전,"prompt_sha256, model, model_version, raw_response, latency, tokens, cost","과거 LLM 재현, 누수 검증","이미 수집된 252행 판단 기록(운영 DB)만 읽기 전용 백필. 원문·프롬프트 해시·지연·종목별 토큰 없음",없음 (기록 스키마는 research/out/shadow.db 에 구현)
D5-해소,QQQ 일봉 (국면지표),"date, open, high, low, close. 검증: 패널 거래일과 완전 일치 — 패널에만 있는 날 0, QQQ 에만 있는 날 0","C3 를 운영 기본 지표로 재현 — 해소됨","확보 완료: research/data/QQQ_1d.pkl (2023-06-01~2026-09-09, 821행, sha256 c4f796e4…). 폴백(유니버스 중앙값)과 병행 실행",Yahoo Finance 무료·비상업. 재배포 금지. 유료 구매·브로커 API·신규 토큰 발급 없음
D6,실제 체결 수수료·환전 비용·스프레드,"symbol, date, 체결 명목, 수수료, 환전 스프레드",실제 비용 기준 손익분기,"편도 0/5/10/20/25bp 임의 스트레스 격자로 대체 실행함 (research/out/cost_sensitivity.csv)",토스 수수료표 확인 필요 (무료)
D7,분봉/틱 데이터,"timestamp, bid, ask, size",스프레드·시장충격·분봉 지연 재현,다음 세션 시가 체결 스트레스(mode C)까지만,유료 가능성 — 승인 필요
D8,입출금·환전 원장,"date, amount_usd, amount_krw, fx_rate, kind(입금/출금/환전)","달러 전략수익 / 원화 환산수익 분리, 일중 TWR",equity.cashflow 수동 기입 + ±25% 점프 경고,토스 Open API 에 입출금 조회 없음 — 수동
D9,실브로커 장애 재현 환경,"샌드박스 계정, 주문 타임아웃·부분체결·취소 거절 시나리오",실환경 실행 무결성 (Gate 2 의 '실환경 미검증' 해소),FakeToss 모의 테스트 22+9건,샌드박스 계정 발급 — 승인 필요
D10,PIT 섹터/산업 분류,"date, symbol, sector, industry, 개정 이력. 검증: 어떤 날짜에도 전 종목 매핑 존재, 재분류 시각 기록","F 의 섹터 한도","상관군(수익률 기반, 매 시점 과거 자료로만 산출) 으로 대체 실행함 — research/corr_limits.py. 오늘 기준 섹터를 과거에 적용하는 것은 대체가 아니라 전방 편향",무료 공급처 불명 — 조사 필요
